TemperaturaMax,TemperaturaProm,TemperaturaMin,HumedadMax,HumedadProm,HumedadMin,VientoMaxKMXH,VientoPromKMXH,PrecipitacionMM,Eventos
17.77777778,13.33333333,8.333333333,80,74,67,14.484096,4.828032,0, 
11.11111111,6.666666667,1.666666667,96,75,54,14.484096,4.828032,0, 
25.55555556,20,13.88888889,100,75,50,14.484096,6.437376,0, 
21.11111111,16.11111111,10.55555556,93,77,61,14.484096,3.218688,0, 
17.22222222,13.88888889,10,96,78,60,14.484096,6.437376,0, 
28.33333333,25,21.11111111,87,81,74,14.484096,6.437376,0, 
13.33333333,12.22222222,11.11111111,89,83,77,14.484096,6.437376,0, 
2.777777778,1.111111111,-1.111111111,92,84,76,14.484096,6.437376,0, 
4.444444444,3.888888889,3.333333333,92,86,79,14.484096,8.04672,0, 
23.88888889,17.77777778,11.66666667,100,86,71,14.484096,6.437376,0, 
22.22222222,15,7.777777778,53,37,20,16.09344,4.828032,0, 
20,13.33333333,6.111111111,54,39,24,16.09344,8.04672,0, 
25,18.33333333,11.11111111,63,39,15,16.09344,4.828032,0, 
25,15.55555556,5.555555556,62,40,18,16.09344,4.828032,0, 
17.77777778,11.66666667,5,56,42,27,16.09344,4.828032,0, 
23.33333333,15.55555556,7.777777778,61,43,25,16.09344,8.04672,0, 
24.44444444,16.11111111,7.777777778,65,44,23,16.09344,6.437376,0, 
15,10,4.444444444,64,46,28,16.09344,4.828032,0, 
37.22222222,30,22.77777778,68,47,25,16.09344,4.828032,0, 
37.77777778,31.11111111,23.88888889,69,48,26,16.09344,4.828032,0, 
30.55555556,20.55555556,10.55555556,71,48,24,16.09344,4.828032,0, 
35,27.77777778,20.55555556,73,49,24,16.09344,3.218688,0, 
23.88888889,16.66666667,8.888888889,71,51,31,16.09344,6.437376,0, 
40,32.77777778,25.55555556,74,51,27,16.09344,4.828032,0, 
13.33333333,6.111111111,-1.111111111,78,51,24,16.09344,3.218688,0, 
17.77777778,11.66666667,5.555555556,76,52,27,16.09344,6.437376,0, 
24.44444444,15,5.555555556,82,52,21,16.09344,3.218688,0, 
21.66666667,11.11111111,0,82,53,23,16.09344,3.218688,0, 
37.22222222,31.11111111,24.44444444,74,54,33,16.09344,8.04672,0, 
31.66666667,23.33333333,14.44444444,80,54,27,16.09344,4.828032,0, 
